llm,granularity,feature,feature_full_name,p_value,cliff_delta,effect_size,direction,human_median,llm_median,human_mean,llm_mean,significant_corrected,significant_uncorrected
gpt-3-5,function,RatioCommentToCode,Comment to Code Ratio,0.0,-0.5566370600608226,Large,↓,0.52,0.0,0.9595754228512254,0.45401104590956165,True,True
gpt-oss,function,CountLine,Lines,0.0,0.40580032264102855,Medium,↑,20.0,38.0,28.8416983085951,42.94981014842941,True,True
gpt-oss,function,CountLineBlank,Blank Lines,0.0,0.3618447803299308,Medium,↑,2.0,5.0,3.5558163617535383,5.308664135312392,True,True
gpt-oss,function,CountLineCode,Code Lines,0.0,0.31596779023066607,Small,↑,10.0,18.0,15.952088367276493,21.77694166379013,True,True
gpt-oss,function,CountLineCodeDecl,Declarative Code Lines,0.0,0.2726881616908401,Small,↑,3.0,5.0,4.876423886779427,6.901484294097342,True,True
gpt-oss,function,CountLineCodeExe,Executable Code Lines,0.0,0.3120310740080945,Small,↑,9.0,16.0,14.58570935450466,20.004487400759405,True,True
gpt-oss,function,CountLineComment,Comment Lines,0.0,0.45422606009644917,Medium,↑,6.0,15.0,9.565964791163273,16.124956851915776,True,True
gpt-oss,function,CountPath,Paths,0.0,0.31843606678209363,Small,↑,3.0,6.0,932493.1464273386,101547.39330341732,True,True
gpt-oss,function,CountPathLog,Paths Log(x),0.0,0.281527615548395,Small,↑,0.0,1.0,0.5551950293406973,0.9339316534345875,True,True
gpt-oss,function,CountStmt,Statements,0.0,0.34452302972770443,Medium,↑,8.0,15.0,12.569899896444598,18.161408353469106,True,True
gpt-oss,function,CountStmtDecl,Declarative Statements,0.0,0.2620411697959478,Small,↑,3.0,5.0,4.489609941318605,6.230100103555402,True,True
gpt-oss,function,CountStmtExe,Executable Statements,0.0,0.33908612208670746,Medium,↑,7.0,14.0,11.471591301346221,16.80745598895409,True,True
gpt-oss,function,Cyclomatic,Cyclomatic Complexity,0.0,0.3067096298659928,Small,↑,3.0,5.0,3.959889540904384,5.562927166033828,True,True
gpt-oss,function,CyclomaticModified,Modified Cyclomatic Complexity,0.0,0.3067096298659928,Small,↑,3.0,5.0,3.959889540904384,5.562927166033828,True,True
gpt-oss,function,CyclomaticStrict,Strict Cyclomatic Complexity,0.0,0.29891489523698767,Small,↑,3.0,5.0,4.375146703486365,6.083258543320676,True,True
gpt-oss,function,CyclomaticStrictModified,Strict Modified Cyclomatic Complexity,0.0,0.29891489523698767,Small,↑,3.0,5.0,4.375146703486365,6.083258543320676,True,True
gpt-oss,function,Essential,Essential Complexity,0.0,0.29456093569949465,Small,↑,1.0,3.0,1.9944770452191922,3.3523645150155335,True,True
gpt-oss,function,MaxNesting,Max Nesting,1.0902454659549109e-209,0.2023891116576502,Small,↑,1.0,2.0,1.4111839834311357,1.825060407317915,True,True
gpt-oss,function,RatioCommentToCode,Comment to Code Ratio,2.1851360308051495e-219,0.2144719621752902,Small,↑,0.52,0.76,0.9595754228512254,0.9741601656886434,True,True
claude-3-haiku,class,AvgCountLine,Average Lines,0.0,-0.29793674894827227,Small,↓,8.0,5.0,9.901536136993201,5.91244858557878,True,True
claude-3-haiku,class,AvgCountLineBlank,Average Blank Lines,1.322084265255312e-170,-0.12665168113637662,Negligible,↓,0.0,0.0,0.2872492235373122,0.11743473516326702,True,True
claude-3-haiku,class,AvgCountLineCode,Average Code Lines,0.0,-0.31426518776984164,Small,↓,6.0,4.0,7.844203810962814,4.530848652732309,True,True
claude-3-haiku,class,AvgCountLineComment,Average Comment Lines,1.1434698784501243e-59,-0.11266035482393552,Negligible,↓,1.0,0.0,1.8018970872156468,1.2916981448837404,True,True
claude-3-haiku,class,AvgCyclomatic,Average Cyclomatic Complexity,0.0,-0.31535500224074103,Small,↓,2.0,1.0,2.403928481490808,1.4870309745656005,True,True
claude-3-haiku,class,AvgCyclomaticModified,Average Modified Cyclomatic Complexity,0.0,-0.31529724417356425,Small,↓,2.0,1.0,2.403340888105431,1.4870309745656005,True,True
claude-3-haiku,class,AvgCyclomaticStrict,Average Strict Cyclomatic Complexity,0.0,-0.3228488313687029,Small,↓,2.0,1.0,2.6356921010660623,1.5663560815915387,True,True
claude-3-haiku,class,AvgCyclomaticStrictModified,Average Strict Modified Cyclomatic Complexity,0.0,-0.322789262416658,Small,↓,2.0,1.0,2.635104507680685,1.5663560815915387,True,True
claude-3-haiku,class,AvgEssential,Average Essential Complexity,3.4610919936839434e-164,-0.16264954271387339,Small,↓,1.0,1.0,1.4109796021153362,1.0983799210946026,True,True
claude-3-haiku,class,CountClassBase,Base Classes,0.08832096193691825,0.003692866344598327,Negligible,↓,0.0,0.0,0.028540250146898347,0.032317636195752536,False,False
claude-3-haiku,class,CountClassCoupled,Coupled Classes,2.536163036240732e-124,-0.1738681506283323,Small,↓,2.0,1.0,2.6946193234281877,1.8289263829430034,True,True
claude-3-haiku,class,CountClassCoupledModified,Coupled Classes Modified,3.1353998255853195e-240,0.09539967669997645,Negligible,↓,0.0,0.0,0.005036514731805591,0.1782926215059179,True,True
claude-3-haiku,class,CountClassDerived,Derived Classes,0.03881178331155487,0.0007557238283326523,Negligible,↓,0.0,0.0,0.0004197095609837992,0.0025182573659027953,False,False
claude-3-haiku,class,CountDeclInstanceMethod,Instance Methods,3.737744263857728e-13,0.05413529687368202,Negligible,↓,4.0,4.0,5.863594392680265,6.118609921934022,True,True
claude-3-haiku,class,CountDeclInstanceVariable,Instance Variables,0.0003488054347003208,-0.026376017249601428,Negligible,↓,2.0,2.0,3.6362796944514395,2.9197515319398977,True,True
claude-3-haiku,class,CountDeclMethod,Methods,1.814003474453565e-15,0.05929591711203689,Negligible,↑,4.0,5.0,6.352639973138588,6.631327121631831,True,True
claude-3-haiku,class,CountDeclMethodAll,All Methods,8.60458973373596e-16,0.05998052319338709,Negligible,↑,4.0,5.0,6.356081591538655,6.63963737093931,True,True
claude-3-haiku,class,CountLine,Lines,7.186598454626156e-103,-0.1610990095382829,Small,↓,49.0,37.0,83.60908251489968,48.75858306052212,True,True
