Repetition,Fold,LR,NB,KNN,SVM,RF,XGB,CatBoost,MLP
11,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8765581490604035,0.8976480083328837,0.8988872605314415,0.8916791179122868
11,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8667977304783371,0.8832493401849134,0.887891443489329,0.8844489539302077
11,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8609516091560423,0.8860091674933853,0.8874543194352841,0.8813984446311367
11,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8684680508561355,0.8855142373616646,0.8900880744410152,0.8815074503776112
11,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8665098011581036,0.8839171380155889,0.8856221420399929,0.8820150427930133
11,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8853397180604905,0.8942490109655378,0.8993706294476271,0.8916136043575872
11,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8624964077651731,0.8774235886233235,0.8849499399367327,0.8783049936743635
11,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8694925947661826,0.8808429557513744,0.8889517721141279,0.880233514532448
12,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8602733511779778,0.8755402115592336,0.8778684201543917,0.8738258484555868
12,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8708986587888911,0.8882724130679172,0.8906540234681665,0.8827957001086755
12,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8769192994123598,0.8976480083328837,0.8994080657645983,0.8898430867784839
12,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8671913623406067,0.8832493401849134,0.8881656094577349,0.8823178365332209
12,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8606185360418142,0.8860091674933853,0.8874587237078689,0.8832052974590652
12,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8676059144976541,0.8855142373616646,0.8896487482506779,0.8772496198562224
12,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8692762348754527,0.8839171380155889,0.8861374419324186,0.8813367848149489
12,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8859183293713231,0.8942490109655378,0.9001061429692946,0.8911104162147699
12,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8643109680701249,0.8774235886233235,0.8849631527544871,0.8788665384289298
12,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.869942931637982,0.8808429557513744,0.8881325774133486,0.8811958480922344
13,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8604869583983422,0.8755402115592336,0.8780313782400306,0.872914164030526
13,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.87149433665599,0.8882724130679172,0.891221073563464,0.881800885038576
13,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8771417151778941,0.8976480083328837,0.8990700378437122,0.8943822402112288
13,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8667613952295121,0.8832493401849134,0.8882393810235311,0.8833154042736859
13,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8609962024159638,0.8860091674933853,0.8878694221264047,0.8823437116346567
13,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8672304502597971,0.8855142373616646,0.889047565042848,0.8815839746137729
13,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8662108611564078,0.8839171380155889,0.8863268256535664,0.8826718299422269
13,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.884756151943,0.8942490109655378,0.8995611142369213,0.8917583948188137
13,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8624931045607344,0.8774235886233235,0.884640539787648,0.8788208441008623
13,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8698460376411156,0.8808429557513744,0.888303242976011,0.8825463081735593
14,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8605150356360706,0.8755402115592336,0.8777759304301103,0.8721313045785716
14,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8706701871485528,0.8882724130679172,0.8904128895441467,0.8819941224982355
